pelbi peelbi
N _ peles piäl'lá
pelji peelji
pennâgâš pennâgáá
peski peeski
peskâ peeskâ
pessi peeSi
pevdi peevdi
peŋkkâ peeŋkâ
piLe pile
piMe pime
piSovâš piSováá
picci piici
pice pise
piddo pido
pie'tâdid piettâd
pieg'gâ piegâ
pier'ni pierni
N _ pier'vâl rähtiđ
piervâl pier'vâl
piev'lâ pievlâ
piivdus pivdus
piivtâs pihtâs
pijgá piijgá
piksâ piivsâ
pille piLe
pisso piso
pittá pitá
pittááš pittáá
pivdo pi'vdo
pivâstâh pivâstuv
piä'iválâš piä'iválii
piä'sádâh piä'sáduv
piäJu piäju
piäl'kku piälhu
piäm'mu piämu
piär'gu piärgu
pištevâš pišteváá
po'igâttâh po'igâttuv
po'stinjâš po'stinjáá
po'stânjuš po'stânjuu
pohe poVe
pokke pohe
pollo poLo
polvâ poolvâ
ponne poNe
ponos ponnoos
poogâs poggâs
poorâ porruu
poostâs postâs
poovčâs pohčâs
poođâš pottâš
N _ porgesoksâmijguim puásui
poros porroos
portháš portháá
porttâ poortâ
poršše po'rše
posâlid poossâl
potkâ poođhâ
pottâ poođâ
povnâ poovnâ
poččâvuotâ poččâvuođâ
poškâ pooškâ
puddiistâh puddiistuv
puddâ puudâ
pugge puge
puhhiittâh puhhiittuv
puicce puuice
puigâ puuigâ
puljárâh puljáruv
pulláruh pulláruv
pulžo pu'lžo
puncce pu'nce
punttâ puuntâ
puoidâ puoi'duu
puojâ sto'rgâgem
puol'vâ puolvâ
puol'žâ puolžâ
puoliš puo'liččeh
puolâš puollâš
puočâ puoJâ
puoŊâ puoŋâ
purdo pu'rdo
purgâ puurgâ
purssâ puursâ
N _ purâhinnáá vááimun
pusnjâš pusnjáá
putkâ puuđhâ
puttâlâš puttâláá
puuljâr puljâr
puurgâs purgâs
puuŋkâs puŋkkâs
puvdâ puuvdâ
puá'idudekes puá'idudiäk'ká
puá'ldáttâh puá'ldáttuv
N _ puá'stu tuo'đâštâs
puá'stuvuotâ puá'stuvuođâ
puál'li puáLi
puál'lu puáLu
puár'sku puársku
puár'tti puárti
puáris puár'rás
puás'ki puáski
puás'kulâs puás'kulii
N _ puásui poccuu
puátu puáđu
puáz'zi puázi
puđkkâ puuđhâ
puš'ko puško
pye'ŋes puáŋŋás
pyeRi pye're
pyei'di pyeidi
pá'lhášuMe pá'lhášume
pá'rgáldâh pá'rgálduv
pággu páágu
páinu pááinu
pálkku páálhu
párkku páárhu
N _ párnái vuástá
párttu páártu
pááRu pááru
pááhu pááVu
páálhus pálkkus
N _ pä'ljis juo'lgij
N _ päccee tiervân
päddi päädi
päikki pääihi
päiđi pääiđi
päkki päähi
pälkki päälhi
pärni päärni
pärtti päärti
pärši päärši
pääLi pääli
pääNi pääni
N _ pääccid tiervân
pääcis páccá
päälgis pálgá
pääljis páljás
N _ pääsi tiervân
N _ pääččim viđá
raMe rame
raaMâ raamâ
N _ raamij siste
raavâ ravvuu
radde rade
raddâ raadâ
radostâh radostuv
rappe rape
rappâ raapâ
rasijâš rasijáá
ravžâ raavžâ
raĐe rađe
raŠe raše
reevâs reeppâs
rencci reenci
repči reepči
restâ reestâ
revni reevni
reŋgâ reeŋgâ
rešmi reešmi
ri'skes riskás
ri'skesvuotâ ri'skesvuođâ
ri'stâlâš ri'stâlii
riNe rine
ribjâ riibjâ
riddo rido
riegis riäg'gá
rieh'ti rievti
riehâ rieVâ
rievtâg rieh'tâg
riges riggá
riggodâh riggoduv
rihte ri'vte
riičâs riččâs
rijdo riijdo
rijgá riijgá
rijjâvuotâ rijjâvuođâ
rimnje ri'mnje
rimnjo ri'mnjo
rimčče ri'mče
rimške ri'mške
rippâ riivâ
risse rise
ristâ riistâ
ritá riđá
riäpu riävu
riäs'ká riäská
riäv'du riävdu
riäv'nu riävnu
riäv'ská riävská
riäŋ'kku riäŋku
ričče riče
riččá ričá
riĐo riđo
robdâ roobdâ
rogge roge
rokke rohe
ronno roNo
ronnodâh ronnoduv
roobdâ robduu
rope rove
roppe rope
roppâ roopâ
roske ro'ske
rossâ roosâ
N _ rummâš raaijâđ
runne ruNe
ruoJâ ruojâ
ruoMâ ruomâ
ruodâs ruod'dâs
ruoi'dâ ruoidâ
ruoinâs ruoi'nâs
ruojâs ruoijâs
ruonâs ruonnâs
ruos'sâ ruosâ
ruos'tâ ruostâ
ruotâs ruot'tâs
ruođâ ruot'tuu
ruođâs ruottâs
ruoŊâ ruoŋâ
rustâ ruustâ
ruttâ ruuđâ
ruumâš ruummâš
ruzze ruze
ruá'njis ruán'njás
N _ ruá'stumettum stääLi
N _ ruá'vis saahâ
ruá'vádâh ruá'váduv
ruáVi ruávi
ruái'ru ruáiru
ruák'ki ruáhi
ruám'čči ruámči
ruán'nu ruánu
ruán'tti ruánti
ruán'zi ruánzi
ruáp'pi ruápi
ruátu ruáđu
ruáv'kku ruávhu
ruáv'ru ruávru
ruáv'ŋi ruávŋi
ruávis ruávvás
ruáŋ'kki ruáŋki
ruáŋis ruáŋ'ŋás
ruáš'ku ruášku
ruŋgo ru'ŋgo
ruškâd ru'škis
ružže ruže
ryek'si ryevsi
ryem'čči ryemči
ryev'di ryevdi
rá'vhálâš rá'vhálii
ráilu rááilu
ráiđu rááiđu
rámmá rááMá
ránnjá rááNjá
ráptu rááptu
rááJu rááju
rááhtus ráhtus
ráátu rááđu
ráđádâh ráđáduv
rášku ráášku
räbbi rääbi
räigi rääigi
